search_space,order,seasonal_order,MAE,RMSE
monthly_approximation,"(1, 1, 1)","(0, 1, 1, 30)",54.95469183283088,59.48197465102406
monthly_approximation,"(1, 1, 1)","(1, 0, 0, 30)",52.432549638274686,56.82856658554515
monthly_approximation,"(1, 1, 1)","(1, 0, 1, 30)",52.43416865640915,56.8316519679727
monthly_approximation,"(1, 1, 1)","(1, 1, 0, 30)",75.47150266005359,82.97706801277869
monthly_approximation,"(1, 1, 1)","(1, 1, 1, 30)",54.95195505576665,59.47907072544469
monthly_approximation,"(1, 1, 2)","(0, 0, 0, 30)",52.163575942649636,56.571085355892755
monthly_approximation,"(1, 1, 2)","(0, 0, 1, 30)",52.39618972292998,56.80689735145773
monthly_approximation,"(1, 1, 2)","(0, 1, 0, 30)",81.66028312977987,90.07389148581179
monthly_approximation,"(1, 1, 2)","(0, 1, 1, 30)",55.04577475479059,59.60020568120491
monthly_approximation,"(1, 1, 2)","(1, 0, 0, 30)",52.39436626403722,56.80552122817144
monthly_approximation,"(1, 1, 2)","(1, 0, 1, 30)",52.40505535183052,56.818370942204986
monthly_approximation,"(1, 1, 2)","(1, 1, 0, 30)",74.31707833329608,81.70799765142348
monthly_approximation,"(1, 1, 2)","(1, 1, 1, 30)",55.0476020115882,59.60219546028138
monthly_approximation,"(2, 0, 0)","(0, 0, 0, 30)",44.615970826849,49.094631658080246
monthly_approximation,"(2, 0, 0)","(0, 0, 1, 30)",46.916882218731274,51.467548262036985
monthly_approximation,"(2, 0, 0)","(0, 1, 0, 30)",48.84466190490333,53.61842653680286
monthly_approximation,"(2, 0, 0)","(0, 1, 1, 30)",30.37996889614149,34.77077257339713
monthly_approximation,"(2, 0, 0)","(1, 0, 0, 30)",46.667720263946194,51.24063718768135
monthly_approximation,"(2, 0, 0)","(1, 0, 1, 30)",46.66437804333089,51.23668543569312
monthly_approximation,"(2, 0, 0)","(1, 1, 0, 30)",51.59865937235239,56.53734295106787
monthly_approximation,"(2, 0, 0)","(1, 1, 1, 30)",30.38558089312419,34.77636183920325
monthly_approximation,"(2, 0, 1)","(0, 0, 0, 30)",45.67125602450617,50.11547259682497
monthly_approximation,"(2, 0, 1)","(0, 0, 1, 30)",54.74657396955513,59.68177711348741
monthly_approximation,"(2, 0, 1)","(0, 1, 0, 30)",47.41910326345219,52.02012836569016
monthly_approximation,"(2, 0, 1)","(0, 1, 1, 30)",15.186523580038354,18.281852560394096
monthly_approximation,"(2, 0, 1)","(1, 0, 0, 30)",49.532811190378155,54.181694333475704
monthly_approximation,"(2, 0, 1)","(1, 0, 1, 30)",50.312023400580806,55.01528746710629
monthly_approximation,"(2, 0, 1)","(1, 1, 0, 30)",49.54098424374512,54.20627810110625
monthly_approximation,"(2, 0, 1)","(1, 1, 1, 30)",15.203710095911335,18.297330752966857
