search_space,order,seasonal_order,MAE,RMSE
monthly_approximation,"(1, 1, 2)","(0, 0, 1, 30)",57.51738211089155,63.791948879298744
monthly_approximation,"(1, 1, 2)","(0, 1, 0, 30)",82.42023249734038,91.54132575106262
monthly_approximation,"(1, 1, 2)","(0, 1, 1, 30)",63.48436338232432,70.09840430616472
monthly_approximation,"(1, 1, 2)","(1, 0, 0, 30)",57.583385245404635,63.86242379236668
monthly_approximation,"(1, 1, 2)","(1, 0, 1, 30)",57.516661812458494,63.792000224219684
monthly_approximation,"(1, 1, 2)","(1, 1, 0, 30)",67.33082539132265,74.90658627737947
monthly_approximation,"(1, 1, 2)","(1, 1, 1, 30)",63.513406789742895,70.12933499121594
monthly_approximation,"(2, 0, 0)","(0, 0, 0, 30)",55.51383978162944,61.98696012184717
monthly_approximation,"(2, 0, 0)","(0, 0, 1, 30)",59.28906171742149,65.99208655337291
monthly_approximation,"(2, 0, 0)","(0, 1, 0, 30)",56.09068181152813,62.42509311309132
monthly_approximation,"(2, 0, 0)","(0, 1, 1, 30)",36.608807261454416,42.373477327900964
monthly_approximation,"(2, 0, 0)","(1, 0, 0, 30)",57.81754260525178,64.43703297514587
monthly_approximation,"(2, 0, 0)","(1, 0, 1, 30)",58.12815790258857,64.76905920239595
monthly_approximation,"(2, 0, 0)","(1, 1, 0, 30)",55.884735231145655,62.38870344344668
monthly_approximation,"(2, 0, 0)","(1, 1, 1, 30)",36.58833580207403,42.352656263288964
monthly_approximation,"(2, 0, 1)","(0, 0, 0, 30)",56.2351970505039,62.708715513465016
monthly_approximation,"(2, 0, 1)","(0, 0, 1, 30)",66.43657040522223,72.94807005964152
monthly_approximation,"(2, 0, 1)","(0, 1, 0, 30)",55.92743790067013,62.25057873125181
monthly_approximation,"(2, 0, 1)","(0, 1, 1, 30)",16.50113636812793,20.783098066297878
monthly_approximation,"(2, 0, 1)","(1, 0, 0, 30)",57.664804659298866,64.24269650193834
monthly_approximation,"(2, 0, 1)","(1, 0, 1, 30)",62.85577663430107,69.71345754284432
monthly_approximation,"(2, 0, 1)","(1, 1, 0, 30)",56.098222400519234,62.50785351959883
monthly_approximation,"(2, 0, 1)","(1, 1, 1, 30)",22.92671313409444,27.85274701620642
monthly_approximation,"(2, 0, 2)","(0, 0, 0, 30)",56.58217393943079,63.07668897278643
monthly_approximation,"(2, 0, 2)","(0, 0, 1, 30)",65.84757238659316,72.31206887778475
monthly_approximation,"(2, 0, 2)","(0, 1, 0, 30)",55.822906505344065,62.07400025246214
monthly_approximation,"(2, 0, 2)","(0, 1, 1, 30)",35.22789826452721,40.95672916526122
monthly_approximation,"(2, 0, 2)","(1, 0, 0, 30)",58.84735152887161,65.52307634623888
monthly_approximation,"(2, 0, 2)","(1, 0, 1, 30)",61.51126504603403,68.25543597876835
monthly_approximation,"(2, 0, 2)","(1, 1, 0, 30)",55.955208661204686,62.36488005464273
monthly_approximation,"(2, 0, 2)","(1, 1, 1, 30)",35.18689308896992,40.91320139098481
monthly_approximation,"(2, 1, 0)","(0, 0, 0, 30)",54.468048194981804,60.87735632511719
monthly_approximation,"(2, 1, 0)","(0, 0, 1, 30)",54.4349759226602,60.84644445133377
monthly_approximation,"(2, 1, 0)","(0, 1, 0, 30)",82.55568796189728,91.69162281228435
monthly_approximation,"(2, 1, 0)","(0, 1, 1, 30)",59.35714044311284,66.03434915896855
monthly_approximation,"(2, 1, 0)","(1, 0, 0, 30)",54.43412258571894,60.84566968816318
monthly_approximation,"(2, 1, 0)","(1, 0, 1, 30)",54.43413467537755,60.845686924817
monthly_approximation,"(2, 1, 0)","(1, 1, 0, 30)",67.1747855735668,74.73737821740906
monthly_approximation,"(2, 1, 0)","(1, 1, 1, 30)",59.50393711422857,66.18648416040206
monthly_approximation,"(2, 1, 1)","(0, 0, 0, 30)",57.66420066539184,63.92483891939957
monthly_approximation,"(2, 1, 1)","(0, 0, 1, 30)",57.579755077476214,63.85826622013886
monthly_approximation,"(2, 1, 1)","(0, 1, 0, 30)",82.52835605393544,91.66129768663222
monthly_approximation,"(2, 1, 1)","(0, 1, 1, 30)",63.47915627294292,70.0903645864054
monthly_approximation,"(2, 1, 1)","(1, 0, 0, 30)",57.58123080674395,63.85985806838352
monthly_approximation,"(2, 1, 1)","(1, 0, 1, 30)",57.58222569898895,63.86092596876595
monthly_approximation,"(2, 1, 1)","(1, 1, 0, 30)",67.09481985221122,74.65070257360163
monthly_approximation,"(2, 1, 1)","(1, 1, 1, 30)",63.50553330397982,70.11904344960622
monthly_approximation,"(2, 1, 2)","(0, 0, 0, 30)",57.57312403443289,63.8474183099076
monthly_approximation,"(2, 1, 2)","(0, 0, 1, 30)",57.55337684523851,63.82367504783047
monthly_approximation,"(2, 1, 2)","(0, 1, 0, 30)",82.58445714146264,91.72355190944135
monthly_approximation,"(2, 1, 2)","(0, 1, 1, 30)",59.22345560921614,65.8520969068314
monthly_approximation,"(2, 1, 2)","(1, 0, 0, 30)",57.57827233882185,63.85043965102077
monthly_approximation,"(2, 1, 2)","(1, 0, 1, 30)",57.5570380560237,63.82822083511474
monthly_approximation,"(2, 1, 2)","(1, 1, 0, 30)",73.50733691776155,81.64610137445716
monthly_approximation,"(2, 1, 2)","(1, 1, 1, 30)",59.364172383846494,66.04231228320683
