epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
122,1798.27,0.92833,0.72576,0.9679,0.99433,1,0.995,0.5968,1.51207,0.78723,1.24046,0.00176042,0.00176042,0.00176042
123,1813.11,1.00162,0.69355,1.01347,0.9943,1,0.995,0.62502,1.48547,0.75473,1.21105,0.00175844,0.00175844,0.00175844
124,1827.54,1.04574,0.78697,1.06372,0.99438,1,0.995,0.61217,1.45928,0.75533,1.18938,0.00175646,0.00175646,0.00175646
125,1841.77,0.99854,0.75562,1.00327,0.99438,1,0.995,0.61217,1.45928,0.75533,1.18938,0.00175448,0.00175448,0.00175448
126,1856.09,0.94744,0.73047,0.9732,0.99443,1,0.995,0.61089,1.47057,0.76303,1.20517,0.0017525,0.0017525,0.0017525
127,1870.3,1.03399,0.72269,1.02788,0.99418,1,0.995,0.59857,1.44611,0.75746,1.19901,0.00175052,0.00175052,0.00175052
128,1884.43,0.99817,0.7181,0.97334,0.99399,1,0.995,0.58901,1.44545,0.76303,1.20523,0.00174854,0.00174854,0.00174854
129,1898.72,0.9421,0.68882,0.98495,0.99399,1,0.995,0.58901,1.44545,0.76303,1.20523,0.00174656,0.00174656,0.00174656
130,1913.18,0.9654,0.7316,0.99767,0.99359,1,0.995,0.5576,1.44575,0.76255,1.21112,0.00174458,0.00174458,0.00174458
131,1927.64,0.94969,0.75302,1.01655,0.9942,1,0.995,0.56141,1.44699,0.757,1.21547,0.0017426,0.0017426,0.0017426
132,1942.15,0.95864,0.83782,1.04773,0.99487,1,0.995,0.55978,1.47459,0.76284,1.21372,0.00174062,0.00174062,0.00174062
133,1956.44,0.93167,0.67649,0.9384,0.99487,1,0.995,0.55978,1.47459,0.76284,1.21372,0.00173864,0.00173864,0.00173864
134,1970.79,0.95554,0.73195,1.01636,0.99523,1,0.995,0.55278,1.47935,0.79097,1.19908,0.00173666,0.00173666,0.00173666
135,1985.16,0.97571,0.72219,1.00651,0.99508,1,0.995,0.55616,1.51321,0.82321,1.21274,0.00173468,0.00173468,0.00173468
136,1999.67,0.89277,0.63674,0.93893,0.99458,1,0.995,0.54686,1.51575,0.81925,1.20664,0.0017327,0.0017327,0.0017327
137,2013.85,0.92699,0.69706,1.0474,0.99458,1,0.995,0.54686,1.51575,0.81925,1.20664,0.00173072,0.00173072,0.00173072
138,2028.17,0.86094,0.65942,0.94912,0.99412,1,0.995,0.60051,1.45619,0.79995,1.17815,0.00172874,0.00172874,0.00172874
139,2042.67,0.95389,0.70859,0.99081,0.9948,1,0.995,0.59804,1.37782,0.7817,1.17406,0.00172676,0.00172676,0.00172676
